3,1,390.13,570.96,70.45,112.05,1,-1,-1,-1
3,2,815.28,608.96,56.10,138.03,1,-1,-1,-1
3,3,1064.37,506.04,77.70,105.98,1,-1,-1,-1
3,4,1178.35,533.97,73.69,107.05,1,-1,-1,-1
3,5,1789.05,609.97,86.42,133.03,1,-1,-1,-1
3,6,1819.21,521.97,64.22,127.98,1,-1,-1,-1
3,7,1412.34,461.04,56.80,87.00,1,-1,-1,-1
3,8,128.87,518.99,75.00,104.00,1,-1,-1,-1
3,9,1477.84,618.01,45.23,126.00,1,-1,-1,-1
3,10,574.13,548.02,55.36,113.00,1,-1,-1,-1
3,11,1468.74,498.94,56.85,99.05,1,-1,-1,-1
3,12,1517.39,445.04,62.90,93.94,1,-1,-1,-1
3,13,1535.82,399.96,36.00,71.00,1,-1,-1,-1
3,15,343.25,591.94,70.53,113.97,1,-1,-1,-1
3,16,523.22,549.96,72.14,111.93,1,-1,-1,-1
3,17,671.62,618.98,78.00,119.00,1,-1,-1,-1
4,1,403.17,569.93,70.13,112.02,1,-1,-1,-1
4,2,828.84,609.06,56.94,139.05,1,-1,-1,-1
4,3,1073.23,506.01,78.37,107.03,1,-1,-1,-1
4,4,1187.43,534.07,74.23,107.97,1,-1,-1,-1
4,5,1797.98,610.90,87.21,134.05,1,-1,-1,-1
4,6,1833.80,522.07,63.86,128.09,1,-1,-1,-1
4,7,1424.86,461.96,56.49,87.00,1,-1,-1,-1
4,8,142.80,519.00,75.00,104.00,1,-1,-1,-1
4,9,1493.88,619.02,45.91,126.94,1,-1,-1,-1
4,10,584.63,549.04,55.86,113.00,1,-1,-1,-1
4,11,1478.03,498.02,57.76,99.97,1,-1,-1,-1
4,12,1533.79,447.10,62.14,92.93,1,-1,-1,-1
4,13,1551.68,399.90,36.00,71.00,1,-1,-1,-1
4,15,361.21,591.01,69.58,112.95,1,-1,-1,-1
4,16,535.71,547.99,71.04,109.98,1,-1,-1,-1
4,17,675.43,618.97,78.00,119.00,1,-1,-1,-1
5,1,429.11,568.02,70.02,112.94,1,-1,-1,-1
5,2,842.39,609.01,58.08,140.03,1,-1,-1,-1
5,3,1082.62,505.99,78.29,107.09,1,-1,-1,-1
5,4,1197.34,534.95,74.78,109.01,1,-1,-1,-1
5,5,1816.05,611.06,89.28,136.91,1,-1,-1,-1
5,6,1862.86,522.95,63.36,128.96,1,-1,-1,-1
5,7,1450.18,462.06,55.81,87.00,1,-1,-1,-1
5,8,170.11,518.99,75.00,104.00,1,-1,-1,-1
5,9,1526.08,621.90,46.77,127.07,1,-1,-1,-1
5,10,606.37,550.02,56.57,112.06,1,-1,-1,-1
5,11,1495.63,496.98,59.21,101.01,1,-1,-1,-1
5,12,1567.00,450.94,60.01,90.09,1,-1,-1,-1
5,13,1582.97,398.10,36.00,71.00,1,-1,-1,-1
5,15,394.81,589.98,67.67,111.03,1,-1,-1,-1
5,16,559.82,545.95,68.92,106.07,1,-1,-1,-1
5,17,680.62,618.99,78.00,119.00,1,-1,-1,-1
6,1,459.73,565.63,70.68,114.16,1,-1,-1,-1
6,2,854.63,609.92,59.78,141.00,1,-1,-1,-1
6,3,1092.57,506.93,78.67,107.94,1,-1,-1,-1
6,4,1207.35,536.00,75.21,110.02,1,-1,-1,-1
6,5,1817.90,611.02,89.77,137.22,1,-1,-1,-1
6,6,1897.02,523.96,63.70,129.93,1,-1,-1,-1
6,7,1480.02,462.05,55.71,87.00,1,-1,-1,-1
6,8,172.74,519.00,75.00,104.00,1,-1,-1,-1
6,9,1565.37,625.68,46.94,127.23,1,-1,-1,-1
6,10,607.80,550.05,58.12,111.93,1,-1,-1,-1
6,11,1496.98,496.92,60.43,101.08,1,-1,-1,-1
6,12,1606.79,455.63,57.59,86.49,1,-1,-1,-1
6,13,1620.69,395.84,36.00,71.00,1,-1,-1,-1
6,15,431.20,569.06,67.86,112.78,1,-1,-1,-1
6,16,561.61,545.88,69.28,105.76,1,-1,-1,-1
6,17,685.93,619.94,78.00,119.00,1,-1,-1,-1
7,2,867.66,610.05,62.47,141.99,1,-1,-1,-1
7,3,1101.87,507.06,78.42,108.04,1,-1,-1,-1
7,4,1218.25,536.07,75.44,111.01,1,-1,-1,-1
7,5,1824.85,610.97,89.34,137.01,1,-1,-1,-1
7,8,187.88,516.17,75.21,104.94,1,-1,-1,-1
7,10,609.18,548.09,60.22,111.99,1,-1,-1,-1
7,11,1508.05,497.00,62.32,101.94,1,-1,-1,-1
7,15,475.86,539.08,69.43,115.80,1,-1,-1,-1
7,16,570.14,546.03,69.38,105.07,1,-1,-1,-1
7,17,690.12,620.07,78.00,119.00,1,-1,-1,-1
8,2,886.26,610.03,66.79,143.00,1,-1,-1,-1
8,3,1111.74,507.03,78.54,108.94,1,-1,-1,-1
8,4,1228.71,536.95,74.86,111.06,1,-1,-1,-1
8,5,1837.40,611.95,87.33,136.93,1,-1,-1,-1
8,8,215.00,512.96,74.24,106.02,1,-1,-1,-1
8,10,611.69,545.95,62.73,112.02,1,-1,-1,-1
8,11,1527.54,497.99,64.81,103.93,1,-1,-1,-1
8,16,581.07,546.08,69.13,104.08,1,-1,-1,-1
8,17,696.89,620.03,78.00,119.00,1,-1,-1,-1
8,22,438.22,576.67,60.92,123.26,1,-1,-1,-1
8,25,1486.38,459.97,44.99,89.03,1,-1,-1,-1
8,26,1578.00,625.01,61.97,129.03,1,-1,-1,-1
8,27,1621.93,449.96,55.94,90.00,1,-1,-1,-1
8,28,1636.55,398.01,34.68,67.99,1,-1,-1,-1
9,2,890.82,609.99,71.52,143.06,1,-1,-1,-1
9,3,1120.86,506.99,78.49,110.00,1,-1,-1,-1
9,4,1238.41,537.05,74.37,111.93,1,-1,-1,-1
9,5,1844.41,612.08,83.23,136.96,1,-1,-1,-1
9,8,224.77,513.67,72.55,106.09,1,-1,-1,-1
9,10,614.68,543.93,65.38,112.01,1,-1,-1,-1
9,11,1531.52,498.11,65.87,104.16,1,-1,-1,-1
9,16,592.09,546.03,68.95,103.97,1,-1,-1,-1
9,17,696.52,619.98,78.00,119.00,1,-1,-1,-1
9,22,456.45,569.62,63.72,129.40,1,-1,-1,-1
9,25,1500.36,458.96,45.94,91.00,1,-1,-1,-1
9,26,1625.71,628.13,62.89,130.95,1,-1,-1,-1
9,27,1632.23,449.99,55.90,90.00,1,-1,-1,-1
9,28,1675.21,398.44,32.92,64.54,1,-1,-1,-1
9,30,482.05,568.97,59.91,118.07,1,-1,-1,-1
10,2,908.38,609.03,76.45,144.87,1,-1,-1,-1
10,3,1139.38,507.92,78.15,111.02,1,-1,-1,-1
10,4,1257.81,538.88,74.19,113.93,1,-1,-1,-1
10,5,1864.23,612.00,71.44,137.00,1,-1,-1,-1
10,8,244.21,515.02,73.35,106.94,1,-1,-1,-1
10,10,622.33,540.08,67.02,111.06,1,-1,-1,-1
10,11,1541.27,499.90,64.74,105.90,1,-1,-1,-1
10,16,614.85,545.99,66.38,102.12,1,-1,-1,-1
10,17,689.33,619.97,78.00,119.00,1,-1,-1,-1
10,22,491.70,557.16,68.40,139.89,1,-1,-1,-1
10,25,1528.50,457.03,46.92,93.04,1,-1,-1,-1
10,27,1661.64,450.94,56.12,90.00,1,-1,-1,-1
10,30,511.79,569.08,61.63,121.99,1,-1,-1,-1
11,2,908.54,608.91,80.26,145.12,1,-1,-1,-1
11,3,1141.70,508.06,77.14,111.07,1,-1,-1,-1
11,4,1260.47,539.12,72.83,114.16,1,-1,-1,-1
11,5,1871.90,611.97,59.03,137.01,1,-1,-1,-1
11,8,245.62,515.18,73.87,107.04,1,-1,-1,-1
11,10,622.18,539.75,68.82,110.93,1,-1,-1,-1
11,11,1543.28,500.11,62.18,106.10,1,-1,-1,-1
11,16,617.51,545.98,64.72,101.89,1,-1,-1,-1
11,17,688.30,619.99,78.00,119.00,1,-1,-1,-1
11,22,515.36,566.98,60.36,124.26,1,-1,-1,-1
11,25,1563.08,454.38,48.18,95.56,1,-1,-1,-1
11,27,1664.47,451.06,56.41,90.00,1,-1,-1,-1
11,30,546.35,569.13,64.35,127.41,1,-1,-1,-1
12,2,935.28,605.21,79.83,149.74,1,-1,-1,-1
12,3,1158.31,508.01,67.65,110.99,1,-1,-1,-1
12,4,1285.42,540.91,66.26,114.02,1,-1,-1,-1
12,5,1872.47,611.80,52.43,137.08,1,-1,-1,-1
12,8,269.52,515.99,74.42,107.00,1,-1,-1,-1
12,10,625.52,540.01,70.26,110.98,1,-1,-1,-1
12,11,1568.97,499.07,65.22,106.00,1,-1,-1,-1
12,16,624.82,545.05,64.13,103.87,1,-1,-1,-1
12,17,700.67,615.28,87.17,129.39,1,-1,-1,-1
12,22,526.36,564.58,58.83,122.31,1,-1,-1,-1
12,27,1659.25,451.29,56.48,90.00,1,-1,-1,-1
13,2,953.46,603.77,76.89,150.37,1,-1,-1,-1
13,3,1166.34,507.98,64.69,115.69,1,-1,-1,-1
13,4,1296.58,541.11,60.58,113.95,1,-1,-1,-1
13,8,292.16,516.04,75.01,106.98,1,-1,-1,-1
13,10,631.46,539.16,71.51,111.02,1,-1,-1,-1
13,11,1581.70,498.89,68.00,105.96,1,-1,-1,-1
13,16,633.76,543.98,63.53,107.02,1,-1,-1,-1
13,17,702.58,614.50,88.70,129.28,1,-1,-1,-1
13,22,538.62,558.41,58.57,123.56,1,-1,-1,-1
13,39,531.25,547.91,57.47,132.94,1,-1,-1,-1
14,2,959.96,604.84,72.91,151.00,1,-1,-1,-1
14,3,1170.92,506.13,61.44,117.35,1,-1,-1,-1
14,4,1302.05,540.07,56.38,114.92,1,-1,-1,-1
